epoch,accuracy,loss,val_accuracy,val_loss
0,0.5930292010307312,1.0879225730895996,0.6932281255722046,0.8312159776687622
1,0.7300005555152893,0.7568842768669128,0.7622199654579163,0.6858932971954346
2,0.7694623470306396,0.6533259153366089,0.774567186832428,0.6336130499839783
3,0.7928680181503296,0.5970717072486877,0.7909877896308899,0.6001152396202087
4,0.8041468858718872,0.5651454925537109,0.7830957174301147,0.6354843974113464
5,0.8150299787521362,0.5351556539535522,0.8047352433204651,0.5586229562759399
6,0.8247116804122925,0.5110262036323547,0.8075356483459473,0.5644202828407288
7,0.8294323682785034,0.4963841438293457,0.818737268447876,0.5282680988311768
8,0.8370788097381592,0.4808027744293213,0.813645601272583,0.5361766219139099
9,0.8399762511253357,0.4674653112888336,0.8202647566795349,0.5280733704566956
10,0.8434107899665833,0.45658203959465027,0.8235743641853333,0.5129141211509705
11,0.8484706878662109,0.4503202736377716,0.8287932872772217,0.514728844165802
12,0.8503504991531372,0.44022631645202637,0.8226832747459412,0.5282034873962402
13,0.8530218005180359,0.43558430671691895,0.8142820596694946,0.5361613631248474
14,0.8571488857269287,0.42326974868774414,0.8331211805343628,0.5104160904884338
15,0.8583078980445862,0.41928625106811523,0.8312118053436279,0.4985806941986084
16,0.8645550608634949,0.4076820909976959,0.8231924772262573,0.5170570015907288
17,0.8654878735542297,0.40373650193214417,0.8228105902671814,0.525251567363739
18,0.868880033493042,0.39613261818885803,0.8349032402038574,0.4939892292022705
19,0.868173360824585,0.3973413109779358,0.8151730895042419,0.5494213700294495
20,0.8709152936935425,0.3885238766670227,0.8335030674934387,0.49218136072158813
21,0.8720177412033081,0.3879709839820862,0.8382128477096558,0.49329322576522827
22,0.8720177412033081,0.38481783866882324,0.8307026624679565,0.5096386075019836
23,0.8744205236434937,0.3773494362831116,0.8318482637405396,0.5083246827125549
24,0.8775158524513245,0.3727209270000458,0.835921585559845,0.48892948031425476
25,0.8763850927352905,0.3714103102684021,0.8380855321884155,0.4765864908695221
26,0.8799044489860535,0.36688610911369324,0.8266293406486511,0.5287632942199707
27,0.8782083988189697,0.3689722418785095,0.8408859372138977,0.5043442845344543
28,0.8786182999610901,0.3674691319465637,0.8356670141220093,0.5155855417251587
29,0.879763126373291,0.3653567433357239,0.8379582762718201,0.5060812830924988
